watts = 0, count = 0
watts = 50, count = 15
watts = 100, count = 20
watts = 150, count = 29
watts = 200, count = 31
watts = 250, count = 39
watts = 300, count = 47
watts = 350, count = 50
watts = 400, count = 52
watts = 450, count = 59
watts = 500, count = 65
watts = 550, count = 170
watts = 600, count = 170
watts = 650, count = 170
watts = 700, count = 170
watts = 750, count = 170
watts = 800, count = 170
watts = 850, count = 170
watts = 900, count = 170
watts = 950, count = 170
watts = 1000, count = 170
watts = 1050, count = 170
watts = 1100, count = 170
watts = 1150, count = 170
watts = 1200, count = 170
watts = 1250, count = 170
watts = 1300, count = 170
watts = 1350, count = 170
watts = 1400, count = 170
watts = 1450, count = 170
watts = 1500, count = 170
watts = 1550, count = 170
watts = 1600, count = 170
watts = 1650, count = 170
watts = 1700, count = 170
watts = 1750, count = 170
watts = 1800, count = 170
watts = 1850, count = 170
watts = 1900, count = 170
watts = 1950, count = 170
watts = 2000, count = 175
watts = 2050, count = 179
watts = 2100, count = 184
watts = 2150, count = 188
watts = 2200, count = 192
watts = 2250, count = 197
watts = 2300, count = 200
watts = 2350, count = 200
watts = 2400, count = 201
watts = 2450, count = 201
watts = 2500, count = 201
watts = 2550, count = 201
watts = 2600, count = 201
watts = 2650, count = 201
watts = 2700, count = 201
watts = 2750, count = 201
watts = 2800, count = 201
watts = 2850, count = 201
watts = 2900, count = 201
watts = 2950, count = 201
watts = 3000, count = 201
watts = 3050, count = 201
watts = 3100, count = 201
watts = 3150, count = 201
watts = 3200, count = 201
watts = 3250, count = 201
watts = 3300, count = 201
watts = 3350, count = 201
watts = 3400, count = 201
watts = 3450, count = 201
watts = 3500, count = 201
watts = 3550, count = 201
watts = 3600, count = 201
watts = 3650, count = 201
watts = 3700, count = 201
watts = 3750, count = 201
watts = 3800, count = 201
watts = 3850, count = 201
watts = 3900, count = 201
watts = 3950, count = 201
watts = 4000, count = 201
watts = 4050, count = 201
watts = 4100, count = 201
watts = 4150, count = 201
watts = 4200, count = 201
watts = 4250, count = 201
watts = 4300, count = 201
watts = 4350, count = 201
watts = 4400, count = 201
watts = 4450, count = 201
watts = 4500, count = 201
watts = 4550, count = 201
watts = 4600, count = 201
watts = 4650, count = 201
watts = 4700, count = 201
watts = 4750, count = 201
watts = 4800, count = 201
watts = 4850, count = 201
watts = 4900, count = 201
watts = 4950, count = 201
watts = 5000, count = 201
